Model,Features,Accuracy,Balanced Acc,Macro F1,MCC,Cohen Kappa
Random Forest,top50,0.4407428477759886,0.12923121730747422,0.14749696815606342,0.2672506445237689,0.25211942327523174
XGBoost,top50,0.42777386726320765,0.12968494359205493,0.14607817303869444,0.2646681248628019,0.25646985325228966
XGBoost,top25,0.4255657657483921,0.12574597981093802,0.14159870156103627,0.2606643713373839,0.25222346443701904
Logistic Regression,top50,0.4403089413647803,0.12029228681865069,0.13943061641655954,0.25532007720436617,0.23360876135454856
Random Forest,top25,0.4336267826321727,0.12316241555120686,0.13845130497634844,0.2605736458123764,0.2475585137056302
LightGBM,top50,0.3584838345755913,0.12127458963601397,0.12756712822769403,0.2077917592624853,0.20644438465499249
Logistic Regression,top25,0.435699891041279,0.11126294201744415,0.12667036267753398,0.24376715970533921,0.2196207745469697
LightGBM,top25,0.37746000829243365,0.11608862801936363,0.12359425077764807,0.21946249841916954,0.21675763714292318
Extra Trees,top50,0.43197793826958125,0.1048531525117947,0.11886585533016081,0.241621801588544,0.22028650836248453
Extra Trees,top25,0.42622144654755134,0.10159841814261862,0.11349179586719467,0.23640262009509813,0.21766295584925044
RBF SVM,top50,0.4296734131078306,0.09603967522803973,0.10955660694051841,0.22722538569134348,0.19892479135765218
RBF SVM,top25,0.42884416974418804,0.09503823407298938,0.10941348960218883,0.2219828740415483,0.19115369125764825
Linear SVM,top50,0.43531419645353825,0.10575967857217602,0.10740982646173843,0.2412806774593703,0.21523225589164707
Gradient Boosting,top25,0.35896595281026716,0.10044238103152281,0.10730830431410597,0.1901173821571257,0.18706411288383218
Gaussian Nb,top50,0.38453750397747544,0.1094293975388256,0.10709126620550745,0.23875211459607412,0.233490801593783
QDA,top50,0.3133382830805427,0.10704753944725255,0.10448786239588476,0.19575881041061735,0.18895779344066665
Gradient Boosting,top50,0.328177882343866,0.09702489200458077,0.10350890458028321,0.16871708523875223,0.16747091724459384
LDA,top50,0.4247075952906691,0.0998283334566149,0.10118423508316285,0.22296650871334336,0.1977621206520318
QDA,top25,0.38859693951344626,0.10059844959328848,0.09802122697755905,0.2246453954523048,0.21852162915085072
Gaussian Nb,top25,0.39221282627351534,0.1004409239143398,0.0964820415859849,0.22798282578024578,0.221377063006318
Linear SVM,top25,0.4281981313097224,0.09426610909657293,0.09006367094170212,0.22519917504824377,0.1968744873205377
LDA,top25,0.41429384142167025,0.07985227327720637,0.07830328582361279,0.1825808652780488,0.14533774616098705
Decision Tree,top50,0.22890973782410398,0.07878021946787354,0.07740468843024008,0.12161032249519442,0.12085715108282391
Decision Tree,top25,0.2321206452670453,0.07863471024998525,0.0773143051011437,0.12350697354865779,0.12280582887782387
KNN,top50,0.38461464289502356,0.059363354018664244,0.06627032952881794,0.17940791145131876,0.16663058824246646
KNN,top25,0.3825222497565303,0.05511779191175784,0.06102279473757499,0.1639854747927642,0.14841840598163625
Adaboost,top25,0.3891658390303638,0.02,0.011205741693216444,0.0,0.0
Adaboost,top50,0.3891658390303638,0.02,0.011205741693216444,0.0,0.0
